,Name,Date,Time,Text,Cleaned Text
14,BitmexCourses,2023-03-14,04:41:08,#HOOK #HOOKUSDT (Binance)Buy Between 1.90 - 2.05 Targets 2.15 - 2.27 - 2.44 - 2.66 StopLoss 1.66 In case breakout the resistance then the next position is almost 31 K @BitmexCourses,"['HOOK', 'HOOKUSDT', 'BinanceBuy', 'Between', '1.90', '-', '2.05', 'Targets', '2.15', '-', '2.27', '-', '2.44', '-', '2.66', 'StopLoss', '1.66', 'In', 'case', 'breakout', 'resistance', 'next', 'position', 'almost', '31', 'K', 'BitmexCourses']"
13,BitmexCourses,2023-03-14,08:08:42,"New to Bybit Let us help you get started with our App Starter Mystery Box!Complete simple tasks to earn up to 500 USDT in rewards. Beginners have all the luck! Event Period: Mar 10 , 2023 , 10 AM UTC Apr 10 , 2023 , 10 AM UTCYou'll receive three ( 3 ) App Starter Mystery Boxes for completing these tasks respectively: Task 1 : Sign up for a Bybit Account using this link and download the Bybit App from the App Store or Google Play Task 2 : Deposit $ 100 to your Bybit Account Task 3 : Reach a minimum trading volume of $ 100 Then check out the home page of the Bybit App to open your Mystery Boxes!Each user is entitled to three ( 3 ) Mystery Boxes, so make sure you complete all the tasks to get them!","['New', 'Bybit', 'Let', 'u', 'help', 'get', 'started', 'App', 'Starter', 'Mystery', 'BoxComplete', 'simple', 'task', 'earn', '500', 'USDT', 'rewards.', 'Beginners', 'luck', 'Event', 'Period', 'Mar', '10', '2023', '10', 'AM', 'UTC', 'Apr', '10', '2023', '10', 'AM', 'UTCYoull', 'receive', 'three', '3', 'App', 'Starter', 'Mystery', 'Boxes', 'completing', 'task', 'respectively', 'Task', '1', 'Sign', 'Bybit', 'Account', 'using', 'link', 'download', 'Bybit', 'App', 'App', 'Store', 'Google', 'Play', 'Task', '2', 'Deposit', '100', 'Bybit', 'Account', 'Task', '3', 'Reach', 'minimum', 'trading', 'volume', '100', 'Then', 'check', 'home', 'page', 'Bybit', 'App', 'open', 'Mystery', 'BoxesEach', 'user', 'entitled', 'three', '3', 'Mystery', 'Boxes', 'make', 'sure', 'complete', 'task', 'get', 'them']"
12,BitmexCourses,2023-03-14,12:50:26,#APT #APTUSDT (Binance)Buy Between 12.50 - 12.80 Targets 13.40 - 14.60 - 15.50 - 16.70 StopLoss 11.10 https://www.tradingview.com/x/ 4 n 10 mLJs/ @BitmexCourses,"['APT', 'APTUSDT', 'BinanceBuy', 'Between', '12.50', '-', '12.80', 'Targets', '13.40', '-', '14.60', '-', '15.50', '-', '16.70', 'StopLoss', '11.10', 'httpswww.tradingview.comx', '4', 'n', '10', 'mLJs', 'BitmexCourses']"
11,BitmexCourses,2023-03-17,07:45:55,#FTM #FTMUSDT (Binance)Buy Between 0.40 - 0.45 Targets 0.48 - 0.56 - 0.66 - 0.77 StopLoss 0.33 https://www.tradingview.com/x/ePwm 5 gEa/ @BitmexCourses,"['FTM', 'FTMUSDT', 'BinanceBuy', 'Between', '0.40', '-', '0.45', 'Targets', '0.48', '-', '0.56', '-', '0.66', '-', '0.77', 'StopLoss', '0.33', 'httpswww.tradingview.comxePwm', '5', 'gEa', 'BitmexCourses']"
10,BitmexCourses,2023-03-17,12:39:37,#AXS #AXSUSDT (Binance)Buy Between 8.00 - 8.45 Targets 9.00 - 9.60 - 10.40 - 12 StopLoss 6.40 https://www.tradingview.com/x/spyiHTP 5 / @BitmexCourses,"['AXS', 'AXSUSDT', 'BinanceBuy', 'Between', '8.00', '-', '8.45', 'Targets', '9.00', '-', '9.60', '-', '10.40', '-', '12', 'StopLoss', '6.40', 'httpswww.tradingview.comxspyiHTP', '5', 'BitmexCourses']"
9,BitmexCourses,2023-03-18,02:37:47,#SOL #SOOLUSDT (Binance)Buy Between 20 - 22.50 Targets 23.40 - 26 - 28 - 32 StopLoss 17 https://www.tradingview.com/x/OM 048 ply/ @BitmexCourses,"['SOL', 'SOOLUSDT', 'BinanceBuy', 'Between', '20', '-', '22.50', 'Targets', '23.40', '-', '26', '-', '28', '-', '32', 'StopLoss', '17', 'httpswww.tradingview.comxOM', '048', 'ply', 'BitmexCourses']"
8,BitmexCourses,2023-03-18,02:41:57,#GALA #GALAUSDT (Binance)Buy Between 0.040 - 0.045 Targets 0.050 - 0.055 - 0.060 - 0.066 StopLoss 0.034 https://www.tradingview.com/x/pkDkCl 5 h/ @BitmexCourses,"['GALA', 'GALAUSDT', 'BinanceBuy', 'Between', '0.040', '-', '0.045', 'Targets', '0.050', '-', '0.055', '-', '0.060', '-', '0.066', 'StopLoss', '0.034', 'httpswww.tradingview.comxpkDkCl', '5', 'h', 'BitmexCourses']"
7,BitmexCourses,2023-03-18,03:32:03,#MANA #MANAUSDT (Binance)Buy Between 0.60 - 0.67 Targets 0.72 - 0.80 - 0.88 - 1.00 StopLoss 0.50 https://www.tradingview.com/x/kNejZZNy/ @BitmexCourses,"['MANA', 'MANAUSDT', 'BinanceBuy', 'Between', '0.60', '-', '0.67', 'Targets', '0.72', '-', '0.80', '-', '0.88', '-', '1.00', 'StopLoss', '0.50', 'httpswww.tradingview.comxkNejZZNy', 'BitmexCourses']"
6,BitmexCourses,2023-03-18,19:01:45,2 Spots with discount for lifetime membership from 400 $To 200 $@ProCrypto_NY 2,"['2', 'Spots', 'discount', 'lifetime', 'membership', '400', 'To', '200', 'ProCryptoNY', '2']"
5,BitmexCourses,2023-03-20,04:23:33,"#BTC #BTCUSDT (Binance)ENTRY 27 , 500 - 27 , 700 Targets 26 , 700 - 26 , 120 - 25 , 600 - 24 , 730 StopLoss 28 , 600 Leverage : 2 xhttps://www.tradingview.com/x/RGHevW 14 / @BitmexCourses","['BTC', 'BTCUSDT', 'BinanceENTRY', '27', '500', '-', '27', '700', 'Targets', '26', '700', '-', '26', '120', '-', '25', '600', '-', '24', '730', 'StopLoss', '28', '600', 'Leverage', '2', 'xhttpswww.tradingview.comxRGHevW', '14', 'BitmexCourses']"
4,BitmexCourses,2023-03-22,05:57:32,#ADA #ADAUSDT (Binance)Buy Between 0.360 - 0.387 Targets 0.40 - 0.43 - 0.48 - 0.58 StopLoss 0.30 https://www.tradingview.com/x/qc 4 W 9 Iz 1 / @BitmexCourses,"['ADA', 'ADAUSDT', 'BinanceBuy', 'Between', '0.360', '-', '0.387', 'Targets', '0.40', '-', '0.43', '-', '0.48', '-', '0.58', 'StopLoss', '0.30', 'httpswww.tradingview.comxqc', '4', 'W', '9', 'Iz', '1', 'BitmexCourses']"
3,BitmexCourses,2023-03-22,11:22:43,"Deposit $ARB to Bybit and Share Rewards From Our $ 400 , 000 $USDT Prize Pools! Learn how to claim and maximize your $ARB Airdrop with Bybit's Deposit and Staking campaigns: 1 Deposit 250 ARB to Earn 25 $USDT 2 Arbitrum Launchpool with 150 , 000 $ARB prize pool 3 [GMX Users Exclusive] Deposit 500 $ARB to Earn 0.5 $GMX 4 [Spot Grid Bot] Trade to Earn from the 20 , 000 $USDT Prize Pool! Also providing hands-on tutorial to claim your $ARB airdrop! Bybit will be the first exchange to list $ARB upon listing on March 23 , 1 PM UTC. Check details here","['Deposit', 'ARB', 'Bybit', 'Share', 'Rewards', 'From', 'Our', '400', '000', 'USDT', 'Prize', 'Pools', 'Learn', 'claim', 'maximize', 'ARB', 'Airdrop', 'Bybits', 'Deposit', 'Staking', 'campaign', '1', 'Deposit', '250', 'ARB', 'Earn', '25', 'USDT', '2', 'Arbitrum', 'Launchpool', '150', '000', 'ARB', 'prize', 'pool', '3', 'GMX', 'Users', 'Exclusive', 'Deposit', '500', 'ARB', 'Earn', '0.5', 'GMX', '4', 'Spot', 'Grid', 'Bot', 'Trade', 'Earn', '20', '000', 'USDT', 'Prize', 'Pool', 'Also', 'providing', 'hands-on', 'tutorial', 'claim', 'ARB', 'airdrop', 'Bybit', 'first', 'exchange', 'list', 'ARB', 'upon', 'listing', 'March', '23', '1', 'PM', 'UTC.', 'Check', 'detail']"
2,BitmexCourses,2023-03-22,11:27:40,Crypto Bull Crypto Experts pinned a photo,"['Crypto', 'Bull', 'Crypto', 'Experts', 'pinned', 'photo']"
1,BitmexCourses,2023-03-22,17:30:47,#BTC #BTCUSDT (Binance)ENTRY 28500 - 29800 Targets 27300 - 26600 - 25800 - 24500 StopLoss 31500 Leverage : 2 xhttps://www.tradingview.com/x/ 8 N 2 axplf/ @BitmexCourses,"['BTC', 'BTCUSDT', 'BinanceENTRY', '28500', '-', '29800', 'Targets', '27300', '-', '26600', '-', '25800', '-', '24500', 'StopLoss', '31500', 'Leverage', '2', 'xhttpswww.tradingview.comx', '8', 'N', '2', 'axplf', 'BitmexCourses']"
0,BitmexCourses,2023-03-24,07:18:53,#BNX #BNXUSDT (Binance)Buy between 0.57 - 0.62 Targets 0.67 - 0.72 - 0.77 - 0.86 StopLoss 0.52 https://www.tradingview.com/x/RtTacGFt/ @BitmexCourses,"['BNX', 'BNXUSDT', 'BinanceBuy', '0.57', '-', '0.62', 'Targets', '0.67', '-', '0.72', '-', '0.77', '-', '0.86', 'StopLoss', '0.52', 'httpswww.tradingview.comxRtTacGFt', 'BitmexCourses']"
